MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,65.0,8450,Reg,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,150,856,Ex,Y,SBrkr,856,854,1710,1,0,2,1,3,1,Gd,8,0,Attchd,2003.0,RFn,548,TA,TA,Y,0,61,2,2008,WD,Normal,208500
20,RL,80.0,9600,Reg,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,284,1262,Ex,Y,SBrkr,1262,0,1262,0,1,2,0,3,1,TA,6,1,Attchd,1976.0,RFn,460,TA,TA,Y,298,0,5,2007,WD,Normal,181500
60,RL,68.0,11250,IR1,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,434,920,Ex,Y,SBrkr,920,866,1786,1,0,2,1,3,1,Gd,6,1,Attchd,2001.0,RFn,608,TA,TA,Y,0,42,9,2008,WD,Normal,223500
70,RL,60.0,9550,IR1,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,540,756,Gd,Y,SBrkr,961,756,1717,1,0,1,0,3,1,Gd,7,1,Detchd,1998.0,Unf,642,TA,TA,Y,0,35,2,2006,WD,Abnorml,140000
60,RL,84.0,14260,IR1,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,490,1145,Ex,Y,SBrkr,1145,1053,2198,1,0,2,1,4,1,Gd,9,1,Attchd,2000.0,RFn,836,TA,TA,Y,192,84,12,2008,WD,Normal,250000
50,RL,85.0,14115,IR1,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,64,796,Ex,Y,SBrkr,796,566,1362,1,0,1,1,1,1,TA,5,0,Attchd,1993.0,Unf,480,TA,TA,Y,40,30,10,2009,WD,Normal,143000
20,RL,75.0,10084,Reg,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,317,1686,Ex,Y,SBrkr,1694,0,1694,1,0,2,0,3,1,Gd,7,1,Attchd,2004.0,RFn,636,TA,TA,Y,255,57,8,2007,WD,Normal,307000
60,RL,,10382,IR1,Corner,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,216,1107,Ex,Y,SBrkr,1107,983,2090,1,0,2,1,3,1,TA,7,2,Attchd,1973.0,RFn,484,TA,TA,Y,235,204,11,2009,WD,Normal,200000
50,RM,51.0,6120,Reg,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,952,952,Gd,Y,FuseF,1022,752,1774,0,0,2,0,2,2,TA,8,2,Detchd,1931.0,Unf,468,Fa,TA,Y,90,0,4,2008,WD,Abnorml,129900
190,RL,50.0,7420,Reg,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,140,991,Ex,Y,SBrkr,1077,0,1077,1,0,1,0,2,2,TA,5,2,Attchd,1939.0,RFn,205,Gd,TA,Y,0,4,1,2008,WD,Normal,118000
